title,abstract,research_problem,summary,research_categories,citation_forecast,nicheness,novelty,public_relevance,research_impact
Li-doped Beryllonitrene for Enhanced Carbon Dioxide Capture,"  In recent years, the scientific community has given more and more attention
to the issue of climate change and global warming, which is largely attributed
to the massive quantity of carbon dioxide emissions. Thus, the demand for a
carbon dioxide capture material is massive and continuously increasing. In this
study, we perform first-principle calculations based on density functional
theory to investigate the carbon dioxide capture ability of pristine and doped
beryllonitrene. Our results show that carbon dioxide had an adsorption energy
of -0.046 eV on pristine beryllonitrene, so it appears that beryllonitrene has
extremely weak carbon dioxide adsorption ability. Pristine beryllonitrene could
be effectively doped with Lithium atoms, and the resulting Li-doped
beryllonitrene had much stronger interactions with carbon dioxide than pristine
beryllonitrene. The adsorption energy for carbon dioxide on Li-doped
beryllonitrene was -0.408 eV. The adsorption of carbon dioxide on Li-doped
beryllonitrene greatly changed the charge density, projected density of states,
and band structure of the material, demonstrating that it was strongly
adsorbed. This suggests that Li-doping is a viable way to enhance the carbon
dioxide capture ability of beryllonitrene and makes it a possible candidate for
an effective CO$_2$ capture material.
",['This research aims to develop more effective materials for capturing carbon dioxide to address climate change and global warming.'],"['The study investigates carbon dioxide capture ability of pristine and Li-doped beryllonitrene using density functional theory', 'Pristine beryllonitrene shows weak CO2 adsorption, while Li-doped beryllonitrene exhibits much stronger interactions', ""Li-doping enhances beryllonitrene's CO2 capture ability, making it a potential candidate for effective CO2 capture materials.""]","['Materials Science', 'Computational Chemistry', 'Environmental Science', 'Climate Change Mitigation']",30 - 50,8,7,6,7
H$_2$ and CO$_2$ Network Strategies for the European Energy System,"  Hydrogen and carbon dioxide transport can both play an essential role in
climate-neutral energy systems. Hydrogen networks help serve regions with high
energy demand, while excess emissions are transported away in carbon dioxide
networks. For the synthesis of carbonaceous fuels, it is less clear which input
should be transported: hydrogen to carbon point sources or carbon to low-cost
hydrogen. We explore both networks' potential synergies and competition in a
cost-optimal carbon-neutral European energy system. In direct comparison, a
hydrogen network is more cost-effective than a carbon network, since it serves
to transport hydrogen to demand and to point source of carbon for utilization.
However, in a hybrid scenario where both networks are present, the carbon
network effectively complements the hydrogen network, promoting carbon capture
from biomass and reducing reliance on direct air capture. Our analysis suggests
integrating hydrogen and carbon dioxide networks into European energy policy
for a robust, carbon-neutral or carbon-negative future energy system.
",['This research aims to determine the most effective and efficient way to transport and utilize hydrogen and carbon dioxide in a carbon-neutral European energy system.'],"['The paper explores the potential synergies and competition between hydrogen and carbon dioxide transport networks in a carbon-neutral European energy system', 'It finds that a hydrogen network is more cost-effective, but a hybrid scenario with both networks is optimal', 'The study recommends integrating both networks into European energy policy for a robust, carbon-neutral or carbon-negative future energy system.']","['Energy Systems', 'Climate Change Mitigation', 'Infrastructure Planning', 'Carbon Capture and Utilization']",50 - 150,6,7,8,8
"Artificial Intelligence-Enabled Optimization of Battery-Grade Lithium
  Carbonate Production","  By 2035, the need for battery-grade lithium is expected to quadruple. About
half of this lithium is currently sourced from brines and must be converted
from a chloride into lithium carbonate (Li2CO3) through a process called
softening. Conventional softening methods using sodium or potassium salts
contribute to carbon emissions during reagent mining and battery manufacturing,
exacerbating global warming. This study introduces an alternative approach
using carbon dioxide (CO2(g)) as the carbonating reagent in the lithium
softening process, offering a carbon capture solution. We employed an active
learning-driven high-throughput method to rapidly capture CO2(g) and convert it
to lithium carbonate. The model was simplified by focusing on the elemental
concentrations of C, Li, and N for practical measurement and tracking, avoiding
the complexities of ion speciation equilibria. This approach led to an
optimized lithium carbonate process that capitalizes on CO2(g) capture and
improves the battery metal supply chain's carbon efficiency.
",['This research aims to reduce carbon emissions in lithium production for batteries while simultaneously capturing CO2.'],"['The study proposes using CO2 as a carbonating reagent in lithium softening to address increasing lithium demand', 'An active learning-driven method was used to optimize CO2 capture and conversion to lithium carbonate', 'The approach simplifies the model and improves carbon efficiency in the battery metal supply chain.']","['Sustainable Chemistry', 'Materials Science', 'Carbon Capture and Utilization', 'Battery Technology']",50 - 150,6,8,7,8
"Two-stage Planning for Electricity-Gas Coupled Integrated Energy System
  with CCUS Considering Carbon Tax and Price Uncertainty","  In this article, we propose two-stage planning models for Electricity-Gas
Coupled Integrated Energy System (EGC-IES), in which traditional thermal power
plants (TTPPs) are considered to be retrofitted into carbon capture power
plants (CCPPs), with power to gas (PtG) coupling CCPPs to gas system. The
sizing and siting of carbon capture, utilisation and storage (CCUS)/PtG
facilities, as well as the operation cost of TTPPs/CCPPs/gas sources/PtG, are
all considered in the proposed model, including penalty on carbon emissions and
revenue of CCUS. With changing policy on climate change and carbon emission
regulation, the uncertainties of carbon price and carbon tax are also analysed
and considered in the proposed planning model. The stochastic planning, and
robust planning methods are introduced to verify mutually through economic and
carbon indices. The proposed methods' effectiveness in reducing carbon
emissions, increasing profit of CCUS from EGC-IES are demonstrated through
various cases and discussions.
",['This research aims to optimize the planning and operation of integrated energy systems while reducing carbon emissions and maximizing profits under uncertain carbon pricing policies.'],"['The paper proposes two-stage planning models for Electricity-Gas Coupled Integrated Energy Systems', 'It considers retrofitting thermal power plants with carbon capture and power-to-gas technologies', 'The models account for uncertainties in carbon pricing and demonstrate effectiveness in reducing emissions and increasing profits.']","['Energy Systems Planning', 'Carbon Capture and Storage', 'Power-to-Gas Technology', 'Climate Change Mitigation']",30 - 60,8,7,6,7
"Assessing the optimal contributions of renewables and carbon capture and
  storage toward carbon neutrality by 2050","  Building on the carbon reduction targets agreed in the Paris Agreements, many
nations have renewed their efforts toward achieving carbon neutrality by the
year 2050. In line with this ambitious goal, nations are seeking to understand
the appropriate combination of technologies which will enable the required
reductions in such a way that they are appealing to investors. Around the
globe, solar and wind power lead in terms of renewable energy deployment, while
carbon capture and storage (CCS) is scaling up toward making a significant
contribution to deep carbon cuts.
  Using Japan as a case study nation, this research proposes a linear
optimization modeling approach to identify the potential contributions of
renewables and CCS toward maximizing carbon reduction and identifying their
economic merits over time. Results identify that the combination of these three
technologies could enable a carbon dioxide emission reduction of between 55 and
67 percent in the energy sector by 2050 depending on resilience levels and CCS
deployment regimes. Further reductions are likely to emerge with increased
carbon pricing over time.
",['This research aims to determine the optimal combination of renewable energy and carbon capture technologies to achieve significant carbon emission reductions while remaining economically viable'],"['This study uses linear optimization modeling to assess the potential of renewables and CCS in achieving carbon neutrality', 'Japan is used as a case study to maximize carbon reduction and identify economic benefits', 'Results show these technologies could reduce CO2 emissions in the energy sector by 55-67% by 2050, with further reductions possible through carbon pricing']","['Energy Policy', 'Climate Change Mitigation', 'Renewable Energy', 'Carbon Capture and Storage']",50 - 100,4,6,8,7
A Quantitative Investigation of CO2 Sequestration by Mineral Carbonation,"  Anthropogenic activities have led to a substantial increase in carbon dioxide
(CO2), a greenhouse gas (GHG), contributing to heightened concerns of global
warming. In the last decade alone CO2 emissions increased by 2.0 ppm/yr.
globally. In the year 2009, United States and China contributed up to 43.4% of
global CO2 emissions. CO2 capture and sequestration have been recognized as
promising solutions to mitigate CO2 emissions from fossil fuel based power
plants. Typical techniques for carbon capture include post-combustion capture,
pre-combustion capture and oxy-combustion capture, which are under active
research globally. Mineral carbonation has been investigated as a suitable
technique for long term storage of CO2. Sequestration is a highly energy
intensive process and the additional energy is typically supplied by the power
plant itself. This leads to a reduction in net amount of CO2 captured because
of extra CO2 emitted. This paper presents a quantitative analysis of the energy
consumption during sequestration process for a typical 1GW pulverized coal and
a 1GW natural gas based power plant. Furthermore, it has been established that
the present day sequestration methods and procedures are not viable to achieve
the goal of carbon sequestration.
",['This research aims to evaluate the effectiveness and energy efficiency of current CO2 sequestration methods for reducing emissions from fossil fuel power plants.'],"['CO2 emissions from human activities are contributing to global warming', 'CO2 capture and sequestration techniques are being researched to mitigate emissions from power plants', 'This paper analyzes the energy consumption of sequestration processes and concludes current methods are not viable for achieving carbon sequestration goals.']","['Climate Change Mitigation', 'Energy Systems', 'Environmental Engineering', 'Carbon Capture and Storage']",30 - 80,4,5,8,6
"Decarbonizing the European energy system in the absence of Russian gas:
  Hydrogen uptake and carbon capture developments in the power, heat and
  industry sectors","  Hydrogen and carbon capture and storage are pivotal to decarbonize the
European energy system in a broad range of pathway scenarios. Yet, their timely
uptake in different sectors and distribution across countries are affected by
supply options of renewable and fossil energy sources. Here, we analyze the
decarbonization of the European energy system towards 2060, covering the power,
heat, and industry sectors, and the change in use of hydrogen and carbon
capture and storage in these sectors upon Europe's decoupling from Russian gas.
The results indicate that the use of gas is significantly reduced in the power
sector, instead being replaced by coal with carbon capture and storage, and
with a further expansion of renewable generators. Coal coupled with carbon
capture and storage is also used in the steel sector as an intermediary step
when Russian gas is neglected, before being fully decarbonized with hydrogen.
Hydrogen production mostly relies on natural gas with carbon capture and
storage until natural gas is scarce and costly at which time green hydrogen
production increases sharply. The disruption of Russian gas imports has
significant consequences on the decarbonization pathways for Europe, with local
energy sources and carbon capture and storage becoming even more important.
",['This research aims to understand how Europe can effectively decarbonize its energy system while adapting to the loss of Russian gas imports.'],"['The paper analyzes European energy system decarbonization towards 2060 without Russian gas', 'It examines changes in hydrogen and carbon capture usage across power, heat, and industry sectors', 'Results show increased reliance on coal with CCS, renewable energy, and eventual shift to green hydrogen production.']","['Energy Policy', 'Climate Change Mitigation', 'Renewable Energy', 'Carbon Capture and Storage']",50 - 100,5,7,8,8
"Economic Viability of the Energy-Water-Hydrogen Nexus for Power System
  Decarbonization","  This paper aims to evaluate the economic viability of the
energy-water-hydrogen (EWH) nexus as a new solution for reducing carbon
emissions from power systems. The urgency around climate change emphasizes the
pressing need to mitigate carbon emissions, especially from the electricity
sector, which accounts for a significant portion of total emissions in the US.
In response, incorporating more renewable energy sources (RESs) and green
hydrogen, created through water electrolysis and RES, stands out as a crucial
strategy to combat climate challenges. We delve into various aspects of the EWH
nexus, including carbon emissions from different power plants, capturing these
emissions, and potential options for their reuse or storage. This paper
involves modeling different sections of the EWH nexus and conducting an
economic analysis across scenarios in power plants to determine optimal water
supply methods, suitable chemical products for carbon reuse, and an appropriate
carbon emission penalty to encourage emission reduction through the EWH nexus.
The results indicate that reusing captured carbon emissions emerges as the most
beneficial option across all power plant types. This finding underscores the
potential of carbon reuse as a pivotal strategy within the EWH nexus framework
for addressing carbon emissions.
","['This research aims to find economically viable solutions for reducing carbon emissions from power systems through the integration of renewable energy sources, green hydrogen, and carbon capture and reuse technologies.']","['The paper evaluates the economic viability of the energy-water-hydrogen nexus for reducing carbon emissions in power systems', 'It explores various aspects including emissions from different power plants, carbon capture, and reuse options', 'The study concludes that carbon reuse is the most beneficial option across all power plant types.']","['Renewable Energy', 'Environmental Economics', 'Carbon Capture and Utilization', 'Energy Systems Engineering']",50 - 100,6,7,8,7
Carbon-Neutralized Task Scheduling for Green Computing Networks,"  Climate change due to increasing carbon emissions by human activities has
been identified as one of the most critical threat to Earth. Carbon
neutralization, as a key approach to reverse climate change, has triggered the
development of new regulations to enforce the economic activities toward low
carbon solutions. Computing networks that enable users to process
computation-intensive tasks contribute huge amount of carbon emissions due to
rising energy consumption. To analyze the achievable reduction of carbon
emissions by a scheduling policy, we first propose a novel virtual queueing
network model that captures communication and computing procedures in networks.
To adapt to highly variable and unpredictable nature of renewable energy
utilized by computing networks (i.e., carbon intensity of grid varies by time
and location), we propose a novel carbon-intensity based scheduling policy that
dynamically schedules computation tasks over clouds via the drift-plus-penalty
methodology in Lyapunov optimization. Our numerical analysis using real-world
data shows that the proposed policy achieves 54% reduction on the cumulative
carbon emissions for AI model training tasks compared to the queue-length based
policy.
",['This research aims to reduce carbon emissions in computing networks by developing an efficient task scheduling policy that considers variable renewable energy availability.'],"['The paper proposes a virtual queueing network model for computing networks', 'It introduces a carbon-intensity based scheduling policy using Lyapunov optimization', 'The proposed policy achieves 54% reduction in carbon emissions for AI model training compared to queue-length based policy.']","['Green Computing', 'Network Optimization', 'Climate Change Mitigation', 'Queueing Theory']",50 - 150,6,7,8,7
"Joint Trading and Scheduling among Coupled Carbon-Electricity-Heat-Gas
  Industrial Clusters","  This paper presents a carbon-energy coupling management framework for an
industrial park, where the carbon flow model accompanying multi-energy flows is
adopted to track and suppress carbon emissions on the user side. To deal with
the quadratic constraint of gas flows, a bound tightening algorithm for
constraints relaxation is adopted. The synergies among the carbon capture,
energy storage, power-to-gas further consume renewable energy and reduce carbon
emissions. Aiming at carbon emissions disparities and supply-demand imbalances,
this paper proposes a carbon trading ladder reward and punishment mechanism and
an energy trading and scheduling method based on Lyapunov optimization and
matching game to maximize the long-term benefits of each industrial cluster
without knowing the prior information of random variables. Case studies show
that our proposed trading method can reduce overall costs and carbon emissions
while relieving energy pressure, which is important for Environmental, Social
and Governance (ESG).
",[],[],"['Energy Systems', 'Carbon Management', 'Optimization Algorithms', 'Industrial Ecology']",30 - 60,8,7,6,7
